,Book_title,Book_summary
0,Other People's Clothes,"A propulsive debut with a wicked sense of humor in which two American ex-pats obsessed with the Amanda Knox trial find themselves at the nexus of murder and celebrity in glittering late-aughts Berlin.Hoping to escape the pain of the recent murder of her best friend, art student Zoe Beech finds herself studying abroad in the bohemian capital of Europe--Berlin. Zoe, rudderless, relies on the arrangements of fellow exchange student Hailey Mader, who idolizes Warhol and Britney Spears and wants nothing more than to be an art star. On Craigslist, Hailey unknowingly stumbles on an apartment sublet posted by a well-known thriller writer. Feeling as though they've won the lottery, the women move into the high-ceilinged pre-war flat. Soon they realize that their landlady, Beatrice, who is supposed to be on a residency in Vienna, is watching them--and her next book appears to be based on their lives. Taking stock of their mundane routines--Law and Order binges and nightly nachos--Hailey insists they become people worthy of a novel. As the year unravels and events spiral out of control, they begin to wonder whose story they are living, and how will it end?Other People's Clothes is brilliant on the sometimes dangerous intensity of female friendships, on millennial life in the city, on the lengths people will go to in order to eradicate emotional pain."
1,Fake,"From the author of The Boys’ Club, a gripping novel set in the high-stakes world of art forgery that moves across the globe, from the trendy art galleries of Manhattan's Chelsea neighborhood to the high-flying international art fairs of Hong Kong.Can you spot the difference? Emma Caan is a fake. She’s a forger, an artist who specializes in nineteenth-century paintings. But she isn’t a criminal; her copies are commissioned by museums and ultra-wealthy collectors protecting their investments. Emma’s more than mastered a Gauguin brushstroke and a van Gogh wheat field, but her work is sometimes a painful reminder of the artistic dreams she once chased for herself, when she was younger and before her family and her world fell apart. When oligarch art collector Leonard Sobetsky unexpectedly appears with an invitation, Emma sees a way out—a new job, a new path for herself, and access to the kind of money she needs to support her unstable and recently widowed mother. But every invitation incurs an obligation . . . and Emma isn’t prepared for what’s to come. As she’s pulled further into Leonard’s opulent scene, she will discover what’s lurking beneath the glitz and glamour. When she does, the past she’s worked hard to overcome will collide with the present, making her wonder how much of her carefully curated life is just as fake as her forgeries . . ."
2,False,False
3,False,False
4,Morpho: Clothing Folds and Creases: Anatomy for Artists,"
In Morpho: Clothing Folds and Creases, artist and teacher Michel Lauricella presents a unique approach to learning to draw clothing. By connecting the underlying anatomy to clothing, as well as considering the body's posture and movement, you can learn to draw accurate and realistic clothing. Whether you're interested in art, animation, or fashion, this book is a great resource for anyone sketching or drawing clothing.
Geared toward artists of all levels―from beginners through professionals―this handy, pocket-sized book will help spark your imagination and creativity.(Publisher's Note: This book features an “exposed” binding style. This is intentional, as it is designed to help the book lay flat as you draw.)Table of Contents:-Foreword-Introduction-Head and Neck-Torso and Shoulders-Upper Limbs-Lower Limbs-Resources"
5,Ain't Burned All the Bright,"Prepare yourself for something unlike anything: A smash-up of art and text for teens that viscerally captures what it is to be Black. In America. Right Now. Written by #1 New York Times bestselling and award-winning author Jason Reynolds.Jason Reynolds and his best bud, Jason Griffin had a mind-meld. And they decided to tackle it, in one fell swoop, in about ten sentences, and 300 pages of art, this piece, this contemplation-manifesto-fierce-vulnerable-gorgeous-terrifying-WhatIsWrongWithHumans-hope-filled-hopeful-searing-Eye-Poppingly-Illustrated-tender-heartbreaking-how-The-HECK-did-They-Come-UP-with-This project about oxygen. And all of the symbolism attached to that word, especially NOW. And so for anyone who didn’t really know what it means to not be able to breathe, REALLY breathe, for generations, now you know. And those who already do, you’ll be nodding yep yep, that is exactly how it is."
6,Funny Farm: My Unexpected Life with 600 Rescue Animals,"An inspiring and moving memoir of the author's turbulent life with 600 rescue animals.Laurie Zaleski never aspired to run an animal rescue; that was her mother Annie's dream. But from girlhood, Laurie was determined to make the dream come true. Thirty years later as a successful businesswoman, she did it, buying a 15-acre farm deep in the Pinelands of South Jersey. She was planning to relocate Annie and her caravan of ragtag rescues--horses and goats, dogs and cats, chickens and pigs--when Annie died, just two weeks before moving day. In her heartbreak, Laurie resolved to make her mother's dream her own. In 2001, she established the Funny Farm Animal Rescue outside Mays Landing, New Jersey. Today, she carries on Annie's mission to save abused and neglected animals.Funny Farm is Laurie's story: of promises kept, dreams fulfilled, and animals lost and found. It's the story of Annie McNulty, who fled a nightmarish marriage with few skills, no money and no resources, dragging three kids behind her, and accumulating hundreds of cast-off animals on the way. And lastly, it's the story of the brave, incredible, and adorable animals that were rescued."
7,Bone Deep: Untangling the Betsy Faria Murder Case,"THE TRUE STORY OF THE CASE THAT IS THE SUBJECT OF NBC’S MARQUEE MINI-SERIES ""THE THING ABOUT PAM"" STARRING RENEE ZELLWEGER AS PAM HUPP AND JOSH DUHAMEL AS JOEL SCHWARTZ.The explosive, first-ever insider’s account of the case that’s captivated millions – the murder of Betsy Faria and the wrongful conviction of her husband – told by Joel J. Schwartz, the defense attorney who fought for justice on behalf of Russel Faria, and New York Times bestselling author Charles Bosworth Jr.On December 27th, 2011, Russell Faria returned to his Troy, Missouri, home after his weekly game night with friends to an unthinkable, grisly scene: His wife, Betsy, lay dead, a knife still lodged in her neck. She’d been stabbed fifty-five times. First responders concluded that Betsy was dead for hours when Russ discovered her. No blood was found implicating Russ, and surveillance video, receipts, and friends’ testimony all supported his alibi. Yet incredibly, police and the prosecuting attorney ignored the evidence. In their minds, Russ was guilty. But prominent defense attorney Joel J. Schwartz quickly recognized the real killer. The motive was clear. Days before her murder, the terminally ill Betsy replaced her husband with her friend, Pamela Hupp, as her life insurance beneficiary. Still, despite the prosecution’s flimsy case and Hupp’s transparent lies, Russ was convicted—leaving Hupp free to kill again. Bone Deep takes readers through the perfect storm of miscalculations and missteps that led to an innocent man’s conviction—and recounts Schwartz’s successful battle to have that conviction overturned. Written with Russ Faria’s cooperation, and filled with chilling new revelations and previously undisclosed evidence, this is the story of what can happen when police, prosecutor, judge, and jury all fail in their duty to protect the innocent—and let a killer get away with murder."
8,Heiresses: The Lives of the Million Dollar Babies,"New York Times bestselling author Laura Thompson returns with Heiresses, a fascinating look at the lives of heiresses throughout history and the often tragic truth beneath the gilded surface.Heiresses: surely they are among the luckiest women on earth. Are they not to be envied, with their private jets and Chanel wardrobes and endless funds? Yet all too often those gilded lives have been beset with trauma and despair. Before the 20th century a wife’s inheritance was the property of her husband, making her vulnerable to kidnap, forced marriages, even confinement in an asylum. And in modern times, heiresses fell victim to fortune-hunters who squandered their millions.Heiresses tells the stories of these million dollar babies: Mary Davies, who inherited London’s most valuable real estate, and was bartered from the age of twelve; Consuelo Vanderbilt, the original American “Dollar Heiress”, forced into a loveless marriage; Barbara Hutton, the Woolworth heiress who married seven times and died almost penniless; and Patty Hearst, heiress to a newspaper fortune who was arrested for terrorism. However, there are also stories of independence and achievement: Angela Burdett-Coutts, who became one of the greatest philanthropists of Victorian England; Nancy Cunard, who lived off her mother's fortune and became a pioneer of the civil rights movement; and Daisy Fellowes, elegant linchpin of interwar high society and noted fashion editor.Heiresses is about the lives of the rich, who—as F. Scott Fitzgerald said—are ‘different’. But it is also a bigger story about how all women fought their way to equality, and sometimes even found autonomy and fulfillment."
9,What My Bones Know: A Memoir of Healing from Complex Trauma,"A searing memoir of reckoning and healing by acclaimed journalist Stephanie Foo,  investigating the little-understood science behind complex PTSD and how it has shaped her life""Every cell in my body is filled with the code of generations of trauma, of death, of birth, of migration, of history that I cannot understand. . . . I want to have words for what my bones know.""By age thirty, Stephanie Foo was successful on paper: She had her dream job as an award-winning radio producer at This American Life and a loving boyfriend. But behind her office door, she was having panic attacks and sobbing at her desk every morning. After years of questioning what was wrong with herself, she was diagnosed with complex PTSD--a condition that occurs when trauma happens continuously, over the course of years.Both of Foo's parents abandoned her when she was a teenager, after years of physical and verbal abuse and neglect. She thought she'd moved on, but her new diagnosis illuminated the way her past continued to threaten her health, relationships, and career. She found limited resources to help her, so Foo set out to heal herself, and to map her experiences onto the scarce literature about C-PTSD.In this deeply personal and thoroughly researched account, Foo interviews scientists and psychologists and tries a variety of innovative therapies. She returns to her hometown of San Jose, California, to investigate the effects of immigrant trauma on the community, and she uncovers family secrets in the country of her birth, Malaysia, to learn how trauma can be inherited through generations. Ultimately, she discovers that you don't move on from trauma--but you can learn to move with it.Powerful, enlightening, and hopeful,  What My Bones Know is a brave narrative that reckons with the hold of the past over the present, the mind over the body--and examines one woman's ability to reclaim agency from her trauma."
